PROLIFIC_PID,q_num,ans,intuition,damage_lvl,question_type
671c1871eb30c87c11b2211a,Q9...125,Very Blameworthy,table,4321,praiseworthy
64012ee6e3f2e59aaa36f718,Q260,NA,table,8642,allocation
64012ee6e3f2e59aaa36f718,Q227,NA,table,8642,penalty
64012ee6e3f2e59aaa36f718,Q9...160,NA,table,8642,praiseworthy
64012ee6e3f2e59aaa36f718,Q257,NA,table,6211,allocation
64012ee6e3f2e59aaa36f718,Q226,NA,table,6211,penalty
64012ee6e3f2e59aaa36f718,Q9...139,NA,table,6211,praiseworthy
64012ee6e3f2e59aaa36f718,Q255,NA,table,4321,allocation
64012ee6e3f2e59aaa36f718,Q225,NA,table,4321,penalty
64012ee6e3f2e59aaa36f718,Q9...125,NA,table,4321,praiseworthy
6109917749b14701436e49f9,Q260,60,table,8642,allocation
6109917749b14701436e49f9,Q227,no penalty,table,8642,penalty
6109917749b14701436e49f9,Q9...160,Moderately Praiseworthy,table,8642,praiseworthy
6109917749b14701436e49f9,Q257,45,table,6211,allocation
6109917749b14701436e49f9,Q226,no penalty,table,6211,penalty
6109917749b14701436e49f9,Q9...139,Moderately Praiseworthy,table,6211,praiseworthy
6109917749b14701436e49f9,Q255,40,table,4321,allocation
6109917749b14701436e49f9,Q225,3% penalty,table,4321,penalty
6109917749b14701436e49f9,Q9...125,Moderately Blameworthy,table,4321,praiseworthy
67d3768e33dab46007042d57,Q260,0,table,8642,allocation
67d3768e33dab46007042d57,Q227,no penalty,table,8642,penalty
67d3768e33dab46007042d57,Q9...160,Neither,table,8642,praiseworthy
67d3768e33dab46007042d57,Q257,0,table,6211,allocation
67d3768e33dab46007042d57,Q226,5% penalty,table,6211,penalty
67d3768e33dab46007042d57,Q9...139,Moderately Blameworthy,table,6211,praiseworthy
67d3768e33dab46007042d57,Q255,0,table,4321,allocation
67d3768e33dab46007042d57,Q225,no penalty,table,4321,penalty
67d3768e33dab46007042d57,Q9...125,Moderately Blameworthy,table,4321,praiseworthy
6787ff8a99fd47745c316a41,Q260,40,table,8642,allocation
6787ff8a99fd47745c316a41,Q227,no penalty,table,8642,penalty
6787ff8a99fd47745c316a41,Q9...160,Moderately Praiseworthy,table,8642,praiseworthy
6787ff8a99fd47745c316a41,Q257,80,table,6211,allocation
6787ff8a99fd47745c316a41,Q226,no penalty,table,6211,penalty
6787ff8a99fd47745c316a41,Q9...139,Moderately Praiseworthy,table,6211,praiseworthy
6787ff8a99fd47745c316a41,Q255,80,table,4321,allocation
6787ff8a99fd47745c316a41,Q225,2% penalty,table,4321,penalty
6787ff8a99fd47745c316a41,Q9...125,A Little Blameworthy,table,4321,praiseworthy
67e9d5a12df1eefc679a315a,Q260,70,table,8642,allocation
67e9d5a12df1eefc679a315a,Q227,4% penalty,table,8642,penalty
67e9d5a12df1eefc679a315a,Q9...160,A Little Blameworthy,table,8642,praiseworthy
67e9d5a12df1eefc679a315a,Q257,50,table,6211,allocation
67e9d5a12df1eefc679a315a,Q226,4% penalty,table,6211,penalty
67e9d5a12df1eefc679a315a,Q9...139,A Little Praiseworthy,table,6211,praiseworthy
67e9d5a12df1eefc679a315a,Q255,50,table,4321,allocation
67e9d5a12df1eefc679a315a,Q225,4% penalty,table,4321,penalty
67e9d5a12df1eefc679a315a,Q9...125,Neither,table,4321,praiseworthy
66d9f188cb9e1a9a3a40015d,Q260,50,table,8642,allocation
66d9f188cb9e1a9a3a40015d,Q227,no penalty,table,8642,penalty
66d9f188cb9e1a9a3a40015d,Q9...160,Moderately Praiseworthy,table,8642,praiseworthy
66d9f188cb9e1a9a3a40015d,Q257,25,table,6211,allocation
66d9f188cb9e1a9a3a40015d,Q226,no penalty,table,6211,penalty
66d9f188cb9e1a9a3a40015d,Q9...139,A Little Praiseworthy,table,6211,praiseworthy
66d9f188cb9e1a9a3a40015d,Q255,45,table,4321,allocation
66d9f188cb9e1a9a3a40015d,Q225,1% penalty,table,4321,penalty
66d9f188cb9e1a9a3a40015d,Q9...125,Neither,table,4321,praiseworthy
65f22e728039424910f7eaa8,Q260,60,table,8642,allocation
65f22e728039424910f7eaa8,Q227,5% penalty,table,8642,penalty
65f22e728039424910f7eaa8,Q9...160,Neither,table,8642,praiseworthy
65f22e728039424910f7eaa8,Q257,60,table,6211,allocation
65f22e728039424910f7eaa8,Q226,5% penalty,table,6211,penalty
65f22e728039424910f7eaa8,Q9...139,Neither,table,6211,praiseworthy
65f22e728039424910f7eaa8,Q255,75,table,4321,allocation
65f22e728039424910f7eaa8,Q225,5% penalty,table,4321,penalty
65f22e728039424910f7eaa8,Q9...125,A Little Praiseworthy,table,4321,praiseworthy
55b6a2e5fdf99b350d57360e,Q260,40,table,8642,allocation
55b6a2e5fdf99b350d57360e,Q227,no penalty,table,8642,penalty
55b6a2e5fdf99b350d57360e,Q9...160,Very Praiseworthy,table,8642,praiseworthy
55b6a2e5fdf99b350d57360e,Q257,50,table,6211,allocation
55b6a2e5fdf99b350d57360e,Q226,no penalty,table,6211,penalty
55b6a2e5fdf99b350d57360e,Q9...139,Very Praiseworthy,table,6211,praiseworthy
55b6a2e5fdf99b350d57360e,Q255,25,table,4321,allocation
55b6a2e5fdf99b350d57360e,Q225,1% penalty,table,4321,penalty
55b6a2e5fdf99b350d57360e,Q9...125,A Little Blameworthy,table,4321,praiseworthy
63e548d24319702eba4fc949,Q260,75,table,8642,allocation
63e548d24319702eba4fc949,Q227,no penalty,table,8642,penalty
63e548d24319702eba4fc949,Q9...160,Very Praiseworthy,table,8642,praiseworthy
63e548d24319702eba4fc949,Q257,25,table,6211,allocation
63e548d24319702eba4fc949,Q226,no penalty,table,6211,penalty
63e548d24319702eba4fc949,Q9...139,Neither,table,6211,praiseworthy
63e548d24319702eba4fc949,Q255,25,table,4321,allocation
63e548d24319702eba4fc949,Q225,3% penalty,table,4321,penalty
63e548d24319702eba4fc949,Q9...125,Neither,table,4321,praiseworthy
678f1df528b89f7aa06b930e,Q260,25,table,8642,allocation
678f1df528b89f7aa06b930e,Q227,no penalty,table,8642,penalty
678f1df528b89f7aa06b930e,Q9...160,Moderately Praiseworthy,table,8642,praiseworthy
678f1df528b89f7aa06b930e,Q257,35,table,6211,allocation
678f1df528b89f7aa06b930e,Q226,no penalty,table,6211,penalty
678f1df528b89f7aa06b930e,Q9...139,Moderately Praiseworthy,table,6211,praiseworthy
678f1df528b89f7aa06b930e,Q255,30,table,4321,allocation
678f1df528b89f7aa06b930e,Q225,no penalty,table,4321,penalty
678f1df528b89f7aa06b930e,Q9...125,Moderately Blameworthy,table,4321,praiseworthy
6108bcb974a08a10c085bb5f,Q260,25,table,8642,allocation
6108bcb974a08a10c085bb5f,Q227,no penalty,table,8642,penalty
6108bcb974a08a10c085bb5f,Q9...160,Neither,table,8642,praiseworthy
6108bcb974a08a10c085bb5f,Q257,10,table,6211,allocation
6108bcb974a08a10c085bb5f,Q226,1% penalty,table,6211,penalty
6108bcb974a08a10c085bb5f,Q9...139,Neither,table,6211,praiseworthy
6108bcb974a08a10c085bb5f,Q255,7,table,4321,allocation
6108bcb974a08a10c085bb5f,Q225,no penalty,table,4321,penalty
6108bcb974a08a10c085bb5f,Q9...125,Neither,table,4321,praiseworthy
5fa62963d5f64b209953d321,Q260,75,table,8642,allocation
5fa62963d5f64b209953d321,Q227,no penalty,table,8642,penalty
5fa62963d5f64b209953d321,Q9...160,Moderately Praiseworthy,table,8642,praiseworthy
5fa62963d5f64b209953d321,Q257,90,table,6211,allocation
5fa62963d5f64b209953d321,Q226,3% penalty,table,6211,penalty
5fa62963d5f64b209953d321,Q9...139,A Little Blameworthy,table,6211,praiseworthy
5fa62963d5f64b209953d321,Q255,20,table,4321,allocation
5fa62963d5f64b209953d321,Q225,4% penalty,table,4321,penalty
5fa62963d5f64b209953d321,Q9...125,Moderately Blameworthy,table,4321,praiseworthy
62348c41368404b2ade8312b,Q260,45,table,8642,allocation
62348c41368404b2ade8312b,Q227,no penalty,table,8642,penalty
62348c41368404b2ade8312b,Q9...160,Very Praiseworthy,table,8642,praiseworthy
62348c41368404b2ade8312b,Q257,40,table,6211,allocation
62348c41368404b2ade8312b,Q226,no penalty,table,6211,penalty
62348c41368404b2ade8312b,Q9...139,Moderately Praiseworthy,table,6211,praiseworthy
62348c41368404b2ade8312b,Q255,20,table,4321,allocation
62348c41368404b2ade8312b,Q225,1% penalty,table,4321,penalty
62348c41368404b2ade8312b,Q9...125,A Little Blameworthy,table,4321,praiseworthy
56169e435c62cf000f822c76,Q260,40,table,8642,allocation
56169e435c62cf000f822c76,Q227,no penalty,table,8642,penalty
56169e435c62cf000f822c76,Q9...160,Very Praiseworthy,table,8642,praiseworthy
56169e435c62cf000f822c76,Q257,25,table,6211,allocation
56169e435c62cf000f822c76,Q226,no penalty,table,6211,penalty
56169e435c62cf000f822c76,Q9...139,Neither,table,6211,praiseworthy
56169e435c62cf000f822c76,Q255,10,table,4321,allocation
56169e435c62cf000f822c76,Q225,no penalty,table,4321,penalty
56169e435c62cf000f822c76,Q9...125,Neither,table,4321,praiseworthy
670583c249355f8e6d0d6df8,Q260,20,table,8642,allocation
670583c249355f8e6d0d6df8,Q227,no penalty,table,8642,penalty
670583c249355f8e6d0d6df8,Q9...160,A Little Praiseworthy,table,8642,praiseworthy
670583c249355f8e6d0d6df8,Q257,20,table,6211,allocation
670583c249355f8e6d0d6df8,Q226,no penalty,table,6211,penalty
670583c249355f8e6d0d6df8,Q9...139,A Little Praiseworthy,table,6211,praiseworthy
670583c249355f8e6d0d6df8,Q255,10,table,4321,allocation
670583c249355f8e6d0d6df8,Q225,2% penalty,table,4321,penalty
670583c249355f8e6d0d6df8,Q9...125,A Little Blameworthy,table,4321,praiseworthy
5c40c6084d5aa1000171a64e,Q260,85,table,8642,allocation
5c40c6084d5aa1000171a64e,Q227,no penalty,table,8642,penalty
5c40c6084d5aa1000171a64e,Q9...160,Moderately Praiseworthy,table,8642,praiseworthy
5c40c6084d5aa1000171a64e,Q257,65,table,6211,allocation
5c40c6084d5aa1000171a64e,Q226,no penalty,table,6211,penalty
5c40c6084d5aa1000171a64e,Q9...139,A Little Praiseworthy,table,6211,praiseworthy
5c40c6084d5aa1000171a64e,Q255,20,table,4321,allocation
5c40c6084d5aa1000171a64e,Q225,1% penalty,table,4321,penalty
5c40c6084d5aa1000171a64e,Q9...125,A Little Blameworthy,table,4321,praiseworthy
678b4ac2e72f7d43014a2b5d,Q260,68,table,8642,allocation
678b4ac2e72f7d43014a2b5d,Q227,no penalty,table,8642,penalty
678b4ac2e72f7d43014a2b5d,Q9...160,Moderately Praiseworthy,table,8642,praiseworthy
678b4ac2e72f7d43014a2b5d,Q257,65,table,6211,allocation
678b4ac2e72f7d43014a2b5d,Q226,no penalty,table,6211,penalty
678b4ac2e72f7d43014a2b5d,Q9...139,A Little Praiseworthy,table,6211,praiseworthy
678b4ac2e72f7d43014a2b5d,Q255,40,table,4321,allocation
678b4ac2e72f7d43014a2b5d,Q225,2% penalty,table,4321,penalty
678b4ac2e72f7d43014a2b5d,Q9...125,Moderately Blameworthy,table,4321,praiseworthy
66f58c9493251ae2f43ef088,Q260,50,table,8642,allocation
66f58c9493251ae2f43ef088,Q227,no penalty,table,8642,penalty
66f58c9493251ae2f43ef088,Q9...160,Moderately Praiseworthy,table,8642,praiseworthy
66f58c9493251ae2f43ef088,Q257,60,table,6211,allocation
66f58c9493251ae2f43ef088,Q226,no penalty,table,6211,penalty
66f58c9493251ae2f43ef088,Q9...139,Moderately Praiseworthy,table,6211,praiseworthy
66f58c9493251ae2f43ef088,Q255,30,table,4321,allocation
66f58c9493251ae2f43ef088,Q225,1% penalty,table,4321,penalty
66f58c9493251ae2f43ef088,Q9...125,Neither,table,4321,praiseworthy
665a6d20e4fd69fa455ce3ca,Q260,25,table,8642,allocation
665a6d20e4fd69fa455ce3ca,Q227,no penalty,table,8642,penalty
665a6d20e4fd69fa455ce3ca,Q9...160,Very Praiseworthy,table,8642,praiseworthy
665a6d20e4fd69fa455ce3ca,Q257,25,table,6211,allocation
665a6d20e4fd69fa455ce3ca,Q226,no penalty,table,6211,penalty
665a6d20e4fd69fa455ce3ca,Q9...139,Very Praiseworthy,table,6211,praiseworthy
665a6d20e4fd69fa455ce3ca,Q255,10,table,4321,allocation
665a6d20e4fd69fa455ce3ca,Q225,5% penalty,table,4321,penalty
665a6d20e4fd69fa455ce3ca,Q9...125,Very Blameworthy,table,4321,praiseworthy
61481ecde9840ff139ea4955,Q260,75,table,8642,allocation
61481ecde9840ff139ea4955,Q227,no penalty,table,8642,penalty
61481ecde9840ff139ea4955,Q9...160,Very Praiseworthy,table,8642,praiseworthy
61481ecde9840ff139ea4955,Q257,40,table,6211,allocation
61481ecde9840ff139ea4955,Q226,no penalty,table,6211,penalty
61481ecde9840ff139ea4955,Q9...139,A Little Praiseworthy,table,6211,praiseworthy
61481ecde9840ff139ea4955,Q255,5,table,4321,allocation
61481ecde9840ff139ea4955,Q225,no penalty,table,4321,penalty
61481ecde9840ff139ea4955,Q9...125,Neither,table,4321,praiseworthy
665ca0199c9267eb724e8028,Q260,75,table,8642,allocation
665ca0199c9267eb724e8028,Q227,no penalty,table,8642,penalty
665ca0199c9267eb724e8028,Q9...160,Very Praiseworthy,table,8642,praiseworthy
665ca0199c9267eb724e8028,Q257,40,table,6211,allocation
665ca0199c9267eb724e8028,Q226,no penalty,table,6211,penalty
665ca0199c9267eb724e8028,Q9...139,Very Praiseworthy,table,6211,praiseworthy
665ca0199c9267eb724e8028,Q255,25,table,4321,allocation
665ca0199c9267eb724e8028,Q225,1% penalty,table,4321,penalty
665ca0199c9267eb724e8028,Q9...125,A Little Blameworthy,table,4321,praiseworthy
633c4b810798db1c81abaf2c,Q260,36,table,8642,allocation
633c4b810798db1c81abaf2c,Q227,no penalty,table,8642,penalty
633c4b810798db1c81abaf2c,Q9...160,Very Praiseworthy,table,8642,praiseworthy
633c4b810798db1c81abaf2c,Q257,70,table,6211,allocation
633c4b810798db1c81abaf2c,Q226,no penalty,table,6211,penalty
633c4b810798db1c81abaf2c,Q9...139,Moderately Praiseworthy,table,6211,praiseworthy
633c4b810798db1c81abaf2c,Q255,50,table,4321,allocation
633c4b810798db1c81abaf2c,Q225,2% penalty,table,4321,penalty
633c4b810798db1c81abaf2c,Q9...125,Moderately Blameworthy,table,4321,praiseworthy
60412f7a5f580407f8e6e615,Q260,45,table,8642,allocation
60412f7a5f580407f8e6e615,Q227,no penalty,table,8642,penalty
60412f7a5f580407f8e6e615,Q9...160,Very Praiseworthy,table,8642,praiseworthy
60412f7a5f580407f8e6e615,Q257,60,table,6211,allocation
60412f7a5f580407f8e6e615,Q226,no penalty,table,6211,penalty
60412f7a5f580407f8e6e615,Q9...139,Very Praiseworthy,table,6211,praiseworthy
60412f7a5f580407f8e6e615,Q255,15,table,4321,allocation
60412f7a5f580407f8e6e615,Q225,3% penalty,table,4321,penalty
60412f7a5f580407f8e6e615,Q9...125,Very Blameworthy,table,4321,praiseworthy
6772fdd1faf7d2c4cd4eb1f3,Q260,40,table,8642,allocation
6772fdd1faf7d2c4cd4eb1f3,Q227,no penalty,table,8642,penalty
6772fdd1faf7d2c4cd4eb1f3,Q9...160,Very Praiseworthy,table,8642,praiseworthy
6772fdd1faf7d2c4cd4eb1f3,Q257,60,table,6211,allocation
6772fdd1faf7d2c4cd4eb1f3,Q226,no penalty,table,6211,penalty
6772fdd1faf7d2c4cd4eb1f3,Q9...139,Very Praiseworthy,table,6211,praiseworthy
6772fdd1faf7d2c4cd4eb1f3,Q255,40,table,4321,allocation
6772fdd1faf7d2c4cd4eb1f3,Q225,1% penalty,table,4321,penalty
6772fdd1faf7d2c4cd4eb1f3,Q9...125,A Little Blameworthy,table,4321,praiseworthy
6529bcd74ee9e1df2c5061e4,Q260,50,table,8642,allocation
6529bcd74ee9e1df2c5061e4,Q227,no penalty,table,8642,penalty
6529bcd74ee9e1df2c5061e4,Q9...160,Very Praiseworthy,table,8642,praiseworthy
6529bcd74ee9e1df2c5061e4,Q257,60,table,6211,allocation
6529bcd74ee9e1df2c5061e4,Q226,no penalty,table,6211,penalty
6529bcd74ee9e1df2c5061e4,Q9...139,Very Praiseworthy,table,6211,praiseworthy
6529bcd74ee9e1df2c5061e4,Q255,40,table,4321,allocation
6529bcd74ee9e1df2c5061e4,Q225,3% penalty,table,4321,penalty
6529bcd74ee9e1df2c5061e4,Q9...125,Very Blameworthy,table,4321,praiseworthy
5c2e693a86a578000141ca47,Q260,50,table,8642,allocation
5c2e693a86a578000141ca47,Q227,no penalty,table,8642,penalty
5c2e693a86a578000141ca47,Q9...160,Very Praiseworthy,table,8642,praiseworthy
5c2e693a86a578000141ca47,Q257,60,table,6211,allocation
5c2e693a86a578000141ca47,Q226,no penalty,table,6211,penalty
5c2e693a86a578000141ca47,Q9...139,Moderately Praiseworthy,table,6211,praiseworthy
5c2e693a86a578000141ca47,Q255,40,table,4321,allocation
5c2e693a86a578000141ca47,Q225,3% penalty,table,4321,penalty
5c2e693a86a578000141ca47,Q9...125,Neither,table,4321,praiseworthy
67235e1aad7fdd5fca6840e9,Q260,80,table,8642,allocation
67235e1aad7fdd5fca6840e9,Q227,no penalty,table,8642,penalty
67235e1aad7fdd5fca6840e9,Q9...160,Neither,table,8642,praiseworthy
67235e1aad7fdd5fca6840e9,Q257,70,table,6211,allocation
67235e1aad7fdd5fca6840e9,Q226,no penalty,table,6211,penalty
67235e1aad7fdd5fca6840e9,Q9...139,Neither,table,6211,praiseworthy
67235e1aad7fdd5fca6840e9,Q255,75,table,4321,allocation
67235e1aad7fdd5fca6840e9,Q225,2% penalty,table,4321,penalty
67235e1aad7fdd5fca6840e9,Q9...125,A Little Blameworthy,table,4321,praiseworthy
5e3bb7770e53243ce0376fe1,Q260,45,table,8642,allocation
5e3bb7770e53243ce0376fe1,Q227,no penalty,table,8642,penalty
5e3bb7770e53243ce0376fe1,Q9...160,Very Praiseworthy,table,8642,praiseworthy
5e3bb7770e53243ce0376fe1,Q257,60,table,6211,allocation
5e3bb7770e53243ce0376fe1,Q226,no penalty,table,6211,penalty
5e3bb7770e53243ce0376fe1,Q9...139,Moderately Praiseworthy,table,6211,praiseworthy
5e3bb7770e53243ce0376fe1,Q255,35,table,4321,allocation
5e3bb7770e53243ce0376fe1,Q225,no penalty,table,4321,penalty
5e3bb7770e53243ce0376fe1,Q9...125,Moderately Blameworthy,table,4321,praiseworthy
675516c6c825ed9774877312,Q260,45,table,8642,allocation
675516c6c825ed9774877312,Q227,no penalty,table,8642,penalty
675516c6c825ed9774877312,Q9...160,Very Praiseworthy,table,8642,praiseworthy
675516c6c825ed9774877312,Q257,55,table,6211,allocation
675516c6c825ed9774877312,Q226,no penalty,table,6211,penalty
675516c6c825ed9774877312,Q9...139,Very Praiseworthy,table,6211,praiseworthy
675516c6c825ed9774877312,Q255,30,table,4321,allocation
675516c6c825ed9774877312,Q225,4% penalty,table,4321,penalty
675516c6c825ed9774877312,Q9...125,Moderately Blameworthy,table,4321,praiseworthy
65cf6dbbe3b7c1159d0364e9,Q260,25,table,8642,allocation
65cf6dbbe3b7c1159d0364e9,Q227,no penalty,table,8642,penalty
65cf6dbbe3b7c1159d0364e9,Q9...160,Neither,table,8642,praiseworthy
65cf6dbbe3b7c1159d0364e9,Q257,25,table,6211,allocation
65cf6dbbe3b7c1159d0364e9,Q226,no penalty,table,6211,penalty
65cf6dbbe3b7c1159d0364e9,Q9...139,Neither,table,6211,praiseworthy
65cf6dbbe3b7c1159d0364e9,Q255,15,table,4321,allocation
65cf6dbbe3b7c1159d0364e9,Q225,no penalty,table,4321,penalty
65cf6dbbe3b7c1159d0364e9,Q9...125,Neither,table,4321,praiseworthy
66ce96efd53aee0946b3b87c,Q260,35,table,8642,allocation
66ce96efd53aee0946b3b87c,Q227,no penalty,table,8642,penalty
66ce96efd53aee0946b3b87c,Q9...160,Very Praiseworthy,table,8642,praiseworthy
66ce96efd53aee0946b3b87c,Q257,60,table,6211,allocation
66ce96efd53aee0946b3b87c,Q226,no penalty,table,6211,penalty
66ce96efd53aee0946b3b87c,Q9...139,Moderately Praiseworthy,table,6211,praiseworthy
66ce96efd53aee0946b3b87c,Q255,45,table,4321,allocation
66ce96efd53aee0946b3b87c,Q225,3% penalty,table,4321,penalty
66ce96efd53aee0946b3b87c,Q9...125,Moderately Blameworthy,table,4321,praiseworthy
5f4962321798ec4bf94a655f,Q260,45,table,8642,allocation
5f4962321798ec4bf94a655f,Q227,no penalty,table,8642,penalty
5f4962321798ec4bf94a655f,Q9...160,A Little Praiseworthy,table,8642,praiseworthy
5f4962321798ec4bf94a655f,Q257,40,table,6211,allocation
