PROLIFIC_PID,question_num,ans,intuition,color,damage_lvl,question_type
590f901cdcc7b30001eed302,Q378_4,2,unint,rocket,6211,acc_provb
590f901cdcc7b30001eed302,Q378_5,0,unint,rocket,6211,acc_provc
590f901cdcc7b30001eed302,Q378_6,0,unint,rocket,6211,acc_provd
590f901cdcc7b30001eed302,Q379_1,5,unint,rocket,4321,acc_prova
590f901cdcc7b30001eed302,Q379_4,3,unint,rocket,4321,acc_provb
590f901cdcc7b30001eed302,Q379_5,2,unint,rocket,4321,acc_provc
590f901cdcc7b30001eed302,Q379_6,0,unint,rocket,4321,acc_provd
67f799107a989889259b84d0,Q246,2.5,int,blues,8642,allocation
67f799107a989889259b84d0,Q215,1% penalty,int,blues,8642,penalty
67f799107a989889259b84d0,Q9...129,A Little Praiseworthy,int,blues,8642,praiseworthy
67f799107a989889259b84d0,Q305,5.0,int,blues,6211,allocation
67f799107a989889259b84d0,Q306,2% penalty,int,blues,6211,penalty
67f799107a989889259b84d0,Q307,A Little Praiseworthy,int,blues,6211,praiseworthy
67f799107a989889259b84d0,Q325,2.5,int,blues,4321,allocation
67f799107a989889259b84d0,Q326,1% penalty,int,blues,4321,penalty
67f799107a989889259b84d0,Q327,Moderately Praiseworthy,int,blues,4321,praiseworthy
67f799107a989889259b84d0,Q370_1,9,int,blues,8642,acc_prova
67f799107a989889259b84d0,Q370_4,7,int,blues,8642,acc_provb
67f799107a989889259b84d0,Q370_5,5,int,blues,8642,acc_provc
67f799107a989889259b84d0,Q370_6,3,int,blues,8642,acc_provd
67f799107a989889259b84d0,Q380_1,8,int,blues,6211,acc_prova
67f799107a989889259b84d0,Q380_4,7,int,blues,6211,acc_provb
67f799107a989889259b84d0,Q380_5,5,int,blues,6211,acc_provc
67f799107a989889259b84d0,Q380_6,2,int,blues,6211,acc_provd
67f799107a989889259b84d0,Q381_1,7,int,blues,4321,acc_prova
67f799107a989889259b84d0,Q381_4,6,int,blues,4321,acc_provb
67f799107a989889259b84d0,Q381_5,4,int,blues,4321,acc_provc
67f799107a989889259b84d0,Q381_6,2,int,blues,4321,acc_provd
6644cf0a2e641bfd221ac4af,Q320,15,unint,blues,8642,allocation
6644cf0a2e641bfd221ac4af,Q321,no penalty,unint,blues,8642,penalty
6644cf0a2e641bfd221ac4af,Q322,Neither,unint,blues,8642,praiseworthy
6644cf0a2e641bfd221ac4af,Q245,20,unint,blues,6211,allocation
6644cf0a2e641bfd221ac4af,Q206,1% penalty,unint,blues,6211,penalty
6644cf0a2e641bfd221ac4af,Q9...103,A Little Blameworthy,unint,blues,6211,praiseworthy
6644cf0a2e641bfd221ac4af,Q300,70,unint,blues,4321,allocation
6644cf0a2e641bfd221ac4af,Q301,5% penalty,unint,blues,4321,penalty
6644cf0a2e641bfd221ac4af,Q302,Moderately Blameworthy,unint,blues,4321,praiseworthy
6644cf0a2e641bfd221ac4af,Q371_1,10,unint,blues,8642,acc_prova
6644cf0a2e641bfd221ac4af,Q371_4,5,unint,blues,8642,acc_provb
6644cf0a2e641bfd221ac4af,Q371_5,3,unint,blues,8642,acc_provc
6644cf0a2e641bfd221ac4af,Q371_6,1,unint,blues,8642,acc_provd
6644cf0a2e641bfd221ac4af,Q372_1,9,unint,blues,6211,acc_prova
6644cf0a2e641bfd221ac4af,Q372_4,2,unint,blues,6211,acc_provb
6644cf0a2e641bfd221ac4af,Q372_5,0,unint,blues,6211,acc_provc
6644cf0a2e641bfd221ac4af,Q372_6,0,unint,blues,6211,acc_provd
6644cf0a2e641bfd221ac4af,Q373_1,5,unint,blues,4321,acc_prova
6644cf0a2e641bfd221ac4af,Q373_4,1,unint,blues,4321,acc_provb
6644cf0a2e641bfd221ac4af,Q373_5,3,unint,blues,4321,acc_provc
6644cf0a2e641bfd221ac4af,Q373_6,1,unint,blues,4321,acc_provd
663ea57212f5d047cf5cb177,Q320,10,unint,blues,8642,allocation
663ea57212f5d047cf5cb177,Q321,no penalty,unint,blues,8642,penalty
663ea57212f5d047cf5cb177,Q322,A Little Praiseworthy,unint,blues,8642,praiseworthy
663ea57212f5d047cf5cb177,Q245,20,unint,blues,6211,allocation
663ea57212f5d047cf5cb177,Q206,no penalty,unint,blues,6211,penalty
663ea57212f5d047cf5cb177,Q9...103,Very Praiseworthy,unint,blues,6211,praiseworthy
663ea57212f5d047cf5cb177,Q300,15,unint,blues,4321,allocation
663ea57212f5d047cf5cb177,Q301,1% penalty,unint,blues,4321,penalty
663ea57212f5d047cf5cb177,Q302,A Little Praiseworthy,unint,blues,4321,praiseworthy
663ea57212f5d047cf5cb177,Q371_1,4,unint,blues,8642,acc_prova
663ea57212f5d047cf5cb177,Q371_4,5,unint,blues,8642,acc_provb
663ea57212f5d047cf5cb177,Q371_5,7,unint,blues,8642,acc_provc
663ea57212f5d047cf5cb177,Q371_6,10,unint,blues,8642,acc_provd
663ea57212f5d047cf5cb177,Q372_1,2,unint,blues,6211,acc_prova
663ea57212f5d047cf5cb177,Q372_4,8,unint,blues,6211,acc_provb
663ea57212f5d047cf5cb177,Q372_5,10,unint,blues,6211,acc_provc
663ea57212f5d047cf5cb177,Q372_6,10,unint,blues,6211,acc_provd
663ea57212f5d047cf5cb177,Q373_1,4,unint,blues,4321,acc_prova
663ea57212f5d047cf5cb177,Q373_4,6,unint,blues,4321,acc_provb
663ea57212f5d047cf5cb177,Q373_5,9,unint,blues,4321,acc_provc
663ea57212f5d047cf5cb177,Q373_6,10,unint,blues,4321,acc_provd
672d64c4790b6e5fc422fc11,Q241,10,unint,rocket,8642,allocation
672d64c4790b6e5fc422fc11,Q233,2% penalty,unint,rocket,8642,penalty
672d64c4790b6e5fc422fc11,Q213,Neither,unint,rocket,8642,praiseworthy
672d64c4790b6e5fc422fc11,Q310,15,unint,rocket,6211,allocation
672d64c4790b6e5fc422fc11,Q311,3% penalty,unint,rocket,6211,penalty
672d64c4790b6e5fc422fc11,Q312,Neither,unint,rocket,6211,praiseworthy
672d64c4790b6e5fc422fc11,Q295,30,unint,rocket,4321,allocation
672d64c4790b6e5fc422fc11,Q296,5% penalty,unint,rocket,4321,penalty
672d64c4790b6e5fc422fc11,Q297,Neither,unint,rocket,4321,praiseworthy
672d64c4790b6e5fc422fc11,Q377_1,10,unint,rocket,8642,acc_prova
672d64c4790b6e5fc422fc11,Q377_4,5,unint,rocket,8642,acc_provb
672d64c4790b6e5fc422fc11,Q377_5,2.5,unint,rocket,8642,acc_provc
672d64c4790b6e5fc422fc11,Q377_6,0,unint,rocket,8642,acc_provd
672d64c4790b6e5fc422fc11,Q378_1,7.5,unint,rocket,6211,acc_prova
672d64c4790b6e5fc422fc11,Q378_4,1.5,unint,rocket,6211,acc_provb
672d64c4790b6e5fc422fc11,Q378_5,1,unint,rocket,6211,acc_provc
672d64c4790b6e5fc422fc11,Q378_6,0,unint,rocket,6211,acc_provd
672d64c4790b6e5fc422fc11,Q379_1,4,unint,rocket,4321,acc_prova
672d64c4790b6e5fc422fc11,Q379_4,2.5,unint,rocket,4321,acc_provb
672d64c4790b6e5fc422fc11,Q379_5,1,unint,rocket,4321,acc_provc
672d64c4790b6e5fc422fc11,Q379_6,0,unint,rocket,4321,acc_provd
6693c333b5a3205963d6eab1,Q244,25,int,rocket,8642,allocation
6693c333b5a3205963d6eab1,Q160,no penalty,int,rocket,8642,penalty
6693c333b5a3205963d6eab1,Q9...63,A Little Blameworthy,int,rocket,8642,praiseworthy
6693c333b5a3205963d6eab1,Q315,50,int,rocket,6211,allocation
6693c333b5a3205963d6eab1,Q316,no penalty,int,rocket,6211,penalty
6693c333b5a3205963d6eab1,Q317,A Little Blameworthy,int,rocket,6211,praiseworthy
6693c333b5a3205963d6eab1,Q290,33,int,rocket,4321,allocation
6693c333b5a3205963d6eab1,Q291,no penalty,int,rocket,4321,penalty
6693c333b5a3205963d6eab1,Q292,A Little Blameworthy,int,rocket,4321,praiseworthy
6693c333b5a3205963d6eab1,Q374_1,10,int,rocket,8642,acc_prova
6693c333b5a3205963d6eab1,Q374_4,6,int,rocket,8642,acc_provb
6693c333b5a3205963d6eab1,Q374_5,3,int,rocket,8642,acc_provc
6693c333b5a3205963d6eab1,Q374_6,1,int,rocket,8642,acc_provd
6693c333b5a3205963d6eab1,Q375_1,7,int,rocket,6211,acc_prova
6693c333b5a3205963d6eab1,Q375_4,1,int,rocket,6211,acc_provb
6693c333b5a3205963d6eab1,Q375_5,1,int,rocket,6211,acc_provc
6693c333b5a3205963d6eab1,Q375_6,0,int,rocket,6211,acc_provd
6693c333b5a3205963d6eab1,Q376_1,4,int,rocket,4321,acc_prova
6693c333b5a3205963d6eab1,Q376_4,3,int,rocket,4321,acc_provb
6693c333b5a3205963d6eab1,Q376_5,1.5,int,rocket,4321,acc_provc
6693c333b5a3205963d6eab1,Q376_6,0,int,rocket,4321,acc_provd
66b6e8f6fe51ffa070f68c78,Q244,40,int,rocket,8642,allocation
66b6e8f6fe51ffa070f68c78,Q160,3% penalty,int,rocket,8642,penalty
66b6e8f6fe51ffa070f68c78,Q9...63,A Little Blameworthy,int,rocket,8642,praiseworthy
66b6e8f6fe51ffa070f68c78,Q315,50,int,rocket,6211,allocation
66b6e8f6fe51ffa070f68c78,Q316,no penalty,int,rocket,6211,penalty
66b6e8f6fe51ffa070f68c78,Q317,Moderately Praiseworthy,int,rocket,6211,praiseworthy
66b6e8f6fe51ffa070f68c78,Q290,60,int,rocket,4321,allocation
66b6e8f6fe51ffa070f68c78,Q291,no penalty,int,rocket,4321,penalty
66b6e8f6fe51ffa070f68c78,Q292,Very Praiseworthy,int,rocket,4321,praiseworthy
66b6e8f6fe51ffa070f68c78,Q374_1,10,int,rocket,8642,acc_prova
66b6e8f6fe51ffa070f68c78,Q374_4,7,int,rocket,8642,acc_provb
66b6e8f6fe51ffa070f68c78,Q374_5,3.5,int,rocket,8642,acc_provc
66b6e8f6fe51ffa070f68c78,Q374_6,1,int,rocket,8642,acc_provd
66b6e8f6fe51ffa070f68c78,Q375_1,7,int,rocket,6211,acc_prova
66b6e8f6fe51ffa070f68c78,Q375_4,2,int,rocket,6211,acc_provb
66b6e8f6fe51ffa070f68c78,Q375_5,1,int,rocket,6211,acc_provc
66b6e8f6fe51ffa070f68c78,Q375_6,1,int,rocket,6211,acc_provd
66b6e8f6fe51ffa070f68c78,Q376_1,4,int,rocket,4321,acc_prova
66b6e8f6fe51ffa070f68c78,Q376_4,3.5,int,rocket,4321,acc_provb
66b6e8f6fe51ffa070f68c78,Q376_5,2.5,int,rocket,4321,acc_provc
66b6e8f6fe51ffa070f68c78,Q376_6,1,int,rocket,4321,acc_provd
67ee7da9117dd0baae454be2,Q246,12,int,blues,8642,allocation
67ee7da9117dd0baae454be2,Q215,no penalty,int,blues,8642,penalty
67ee7da9117dd0baae454be2,Q9...129,A Little Blameworthy,int,blues,8642,praiseworthy
67ee7da9117dd0baae454be2,Q305,70,int,blues,6211,allocation
67ee7da9117dd0baae454be2,Q306,no penalty,int,blues,6211,penalty
67ee7da9117dd0baae454be2,Q307,Moderately Praiseworthy,int,blues,6211,praiseworthy
67ee7da9117dd0baae454be2,Q325,50,int,blues,4321,allocation
67ee7da9117dd0baae454be2,Q326,no penalty,int,blues,4321,penalty
67ee7da9117dd0baae454be2,Q327,A Little Praiseworthy,int,blues,4321,praiseworthy
67ee7da9117dd0baae454be2,Q370_1,6,int,blues,8642,acc_prova
67ee7da9117dd0baae454be2,Q370_4,6,int,blues,8642,acc_provb
67ee7da9117dd0baae454be2,Q370_5,5,int,blues,8642,acc_provc
67ee7da9117dd0baae454be2,Q370_6,3,int,blues,8642,acc_provd
67ee7da9117dd0baae454be2,Q380_1,10,int,blues,6211,acc_prova
67ee7da9117dd0baae454be2,Q380_4,7,int,blues,6211,acc_provb
67ee7da9117dd0baae454be2,Q380_5,5,int,blues,6211,acc_provc
67ee7da9117dd0baae454be2,Q380_6,2,int,blues,6211,acc_provd
67ee7da9117dd0baae454be2,Q381_1,10,int,blues,4321,acc_prova
67ee7da9117dd0baae454be2,Q381_4,5,int,blues,4321,acc_provb
67ee7da9117dd0baae454be2,Q381_5,2.5,int,blues,4321,acc_provc
67ee7da9117dd0baae454be2,Q381_6,2.5,int,blues,4321,acc_provd
678862b1eccd9d65d8fcfa83,Q246,2,int,blues,8642,allocation
678862b1eccd9d65d8fcfa83,Q215,no penalty,int,blues,8642,penalty
678862b1eccd9d65d8fcfa83,Q9...129,Very Praiseworthy,int,blues,8642,praiseworthy
678862b1eccd9d65d8fcfa83,Q305,2,int,blues,6211,allocation
678862b1eccd9d65d8fcfa83,Q306,no penalty,int,blues,6211,penalty
678862b1eccd9d65d8fcfa83,Q307,Very Praiseworthy,int,blues,6211,praiseworthy
678862b1eccd9d65d8fcfa83,Q325,2,int,blues,4321,allocation
678862b1eccd9d65d8fcfa83,Q326,no penalty,int,blues,4321,penalty
678862b1eccd9d65d8fcfa83,Q327,Very Praiseworthy,int,blues,4321,praiseworthy
678862b1eccd9d65d8fcfa83,Q370_1,7,int,blues,8642,acc_prova
678862b1eccd9d65d8fcfa83,Q370_4,5,int,blues,8642,acc_provb
678862b1eccd9d65d8fcfa83,Q370_5,3,int,blues,8642,acc_provc
678862b1eccd9d65d8fcfa83,Q370_6,1,int,blues,8642,acc_provd
678862b1eccd9d65d8fcfa83,Q380_1,10,int,blues,6211,acc_prova
678862b1eccd9d65d8fcfa83,Q380_4,7.5,int,blues,6211,acc_provb
678862b1eccd9d65d8fcfa83,Q380_5,3,int,blues,6211,acc_provc
678862b1eccd9d65d8fcfa83,Q380_6,1,int,blues,6211,acc_provd
678862b1eccd9d65d8fcfa83,Q381_1,9,int,blues,4321,acc_prova
678862b1eccd9d65d8fcfa83,Q381_4,4,int,blues,4321,acc_provb
678862b1eccd9d65d8fcfa83,Q381_5,2,int,blues,4321,acc_provc
678862b1eccd9d65d8fcfa83,Q381_6,0,int,blues,4321,acc_provd
664fc6ec0beb5400a141b77b,Q320,80,unint,blues,8642,allocation
664fc6ec0beb5400a141b77b,Q321,no penalty,unint,blues,8642,penalty
664fc6ec0beb5400a141b77b,Q322,Neither,unint,blues,8642,praiseworthy
664fc6ec0beb5400a141b77b,Q245,60,unint,blues,6211,allocation
664fc6ec0beb5400a141b77b,Q206,no penalty,unint,blues,6211,penalty
664fc6ec0beb5400a141b77b,Q9...103,Neither,unint,blues,6211,praiseworthy
664fc6ec0beb5400a141b77b,Q300,60,unint,blues,4321,allocation
664fc6ec0beb5400a141b77b,Q301,no penalty,unint,blues,4321,penalty
664fc6ec0beb5400a141b77b,Q302,Neither,unint,blues,4321,praiseworthy
664fc6ec0beb5400a141b77b,Q371_1,10,unint,blues,8642,acc_prova
664fc6ec0beb5400a141b77b,Q371_4,5,unint,blues,8642,acc_provb
664fc6ec0beb5400a141b77b,Q371_5,2,unint,blues,8642,acc_provc
664fc6ec0beb5400a141b77b,Q371_6,0,unint,blues,8642,acc_provd
664fc6ec0beb5400a141b77b,Q372_1,9,unint,blues,6211,acc_prova
664fc6ec0beb5400a141b77b,Q372_4,3,unint,blues,6211,acc_provb
664fc6ec0beb5400a141b77b,Q372_5,0,unint,blues,6211,acc_provc
664fc6ec0beb5400a141b77b,Q372_6,0,unint,blues,6211,acc_provd
664fc6ec0beb5400a141b77b,Q373_1,5,unint,blues,4321,acc_prova
664fc6ec0beb5400a141b77b,Q373_4,4,unint,blues,4321,acc_provb
664fc6ec0beb5400a141b77b,Q373_5,2,unint,blues,4321,acc_provc
664fc6ec0beb5400a141b77b,Q373_6,0,unint,blues,4321,acc_provd
67f56d1271929adf7a806aef,Q246,25,int,blues,8642,allocation
67f56d1271929adf7a806aef,Q215,2% penalty,int,blues,8642,penalty
67f56d1271929adf7a806aef,Q9...129,Very Blameworthy,int,blues,8642,praiseworthy
67f56d1271929adf7a806aef,Q305,25,int,blues,6211,allocation
67f56d1271929adf7a806aef,Q306,5% penalty,int,blues,6211,penalty
67f56d1271929adf7a806aef,Q307,Very Blameworthy,int,blues,6211,praiseworthy
67f56d1271929adf7a806aef,Q325,30,int,blues,4321,allocation
67f56d1271929adf7a806aef,Q326,no penalty,int,blues,4321,penalty
67f56d1271929adf7a806aef,Q327,Very Praiseworthy,int,blues,4321,praiseworthy
67f56d1271929adf7a806aef,Q370_1,7,int,blues,8642,acc_prova
67f56d1271929adf7a806aef,Q370_4,5,int,blues,8642,acc_provb
67f56d1271929adf7a806aef,Q370_5,3,int,blues,8642,acc_provc
67f56d1271929adf7a806aef,Q370_6,2,int,blues,8642,acc_provd
67f56d1271929adf7a806aef,Q380_1,10,int,blues,6211,acc_prova
67f56d1271929adf7a806aef,Q380_4,7,int,blues,6211,acc_provb
67f56d1271929adf7a806aef,Q380_5,5,int,blues,6211,acc_provc
67f56d1271929adf7a806aef,Q380_6,3,int,blues,6211,acc_provd
67f56d1271929adf7a806aef,Q381_1,9,int,blues,4321,acc_prova
67f56d1271929adf7a806aef,Q381_4,5,int,blues,4321,acc_provb
67f56d1271929adf7a806aef,Q381_5,2,int,blues,4321,acc_provc
67f56d1271929adf7a806aef,Q381_6,2,int,blues,4321,acc_provd
667480a37068f7b381b534b6,Q244,5,int,rocket,8642,allocation
667480a37068f7b381b534b6,Q160,5% penalty,int,rocket,8642,penalty
667480a37068f7b381b534b6,Q9...63,Neither,int,rocket,8642,praiseworthy
667480a37068f7b381b534b6,Q315,25,int,rocket,6211,allocation
667480a37068f7b381b534b6,Q316,no penalty,int,rocket,6211,penalty
667480a37068f7b381b534b6,Q317,Moderately Praiseworthy,int,rocket,6211,praiseworthy
667480a37068f7b381b534b6,Q290,20,int,rocket,4321,allocation
667480a37068f7b381b534b6,Q291,5% penalty,int,rocket,4321,penalty
667480a37068f7b381b534b6,Q292,Moderately Blameworthy,int,rocket,4321,praiseworthy
667480a37068f7b381b534b6,Q374_1,10,int,rocket,8642,acc_prova
667480a37068f7b381b534b6,Q374_4,7,int,rocket,8642,acc_provb
667480a37068f7b381b534b6,Q374_5,4,int,rocket,8642,acc_provc
667480a37068f7b381b534b6,Q374_6,1,int,rocket,8642,acc_provd
667480a37068f7b381b534b6,Q375_1,6,int,rocket,6211,acc_prova
667480a37068f7b381b534b6,Q375_4,3,int,rocket,6211,acc_provb
667480a37068f7b381b534b6,Q375_5,1,int,rocket,6211,acc_provc
667480a37068f7b381b534b6,Q375_6,1,int,rocket,6211,acc_provd
667480a37068f7b381b534b6,Q376_1,5,int,rocket,4321,acc_prova
667480a37068f7b381b534b6,Q376_4,4,int,rocket,4321,acc_provb
667480a37068f7b381b534b6,Q376_5,3,int,rocket,4321,acc_provc
667480a37068f7b381b534b6,Q376_6,2,int,rocket,4321,acc_provd
62b20c0065e9809e66d13fa5,Q241,30,unint,rocket,8642,allocation
62b20c0065e9809e66d13fa5,Q233,2% penalty,unint,rocket,8642,penalty
62b20c0065e9809e66d13fa5,Q213,Neither,unint,rocket,8642,praiseworthy
62b20c0065e9809e66d13fa5,Q310,40,unint,rocket,6211,allocation
62b20c0065e9809e66d13fa5,Q311,2% penalty,unint,rocket,6211,penalty
62b20c0065e9809e66d13fa5,Q312,Neither,unint,rocket,6211,praiseworthy
62b20c0065e9809e66d13fa5,Q295,55,unint,rocket,4321,allocation
62b20c0065e9809e66d13fa5,Q296,4% penalty,unint,rocket,4321,penalty
62b20c0065e9809e66d13fa5,Q297,A Little Praiseworthy,unint,rocket,4321,praiseworthy
62b20c0065e9809e66d13fa5,Q377_1,8,unint,rocket,8642,acc_prova
62b20c0065e9809e66d13fa5,Q377_4,6,unint,rocket,8642,acc_provb
62b20c0065e9809e66d13fa5,Q377_5,5,unint,rocket,8642,acc_provc
62b20c0065e9809e66d13fa5,Q377_6,2,unint,rocket,8642,acc_provd
62b20c0065e9809e66d13fa5,Q378_1,6,unint,rocket,6211,acc_prova
62b20c0065e9809e66d13fa5,Q378_4,4,unint,rocket,6211,acc_provb
62b20c0065e9809e66d13fa5,Q378_5,2,unint,rocket,6211,acc_provc
62b20c0065e9809e66d13fa5,Q378_6,1,unint,rocket,6211,acc_provd
62b20c0065e9809e66d13fa5,Q379_1,4,unint,rocket,4321,acc_prova
62b20c0065e9809e66d13fa5,Q379_4,3,unint,rocket,4321,acc_provb
62b20c0065e9809e66d13fa5,Q379_5,2,unint,rocket,4321,acc_provc
62b20c0065e9809e66d13fa5,Q379_6,1,unint,rocket,4321,acc_provd
67ae87b0d1835460d0a99abd,Q320,7.5,unint,blues,8642,allocation
67ae87b0d1835460d0a99abd,Q321,3% penalty,unint,blues,8642,penalty
67ae87b0d1835460d0a99abd,Q322,A Little Blameworthy,unint,blues,8642,praiseworthy
67ae87b0d1835460d0a99abd,Q245,5,unint,blues,6211,allocation
67ae87b0d1835460d0a99abd,Q206,2% penalty,unint,blues,6211,penalty
67ae87b0d1835460d0a99abd,Q9...103,Neither,unint,blues,6211,praiseworthy
67ae87b0d1835460d0a99abd,Q300,10,unint,blues,4321,allocation
67ae87b0d1835460d0a99abd,Q301,3% penalty,unint,blues,4321,penalty
67ae87b0d1835460d0a99abd,Q302,A Little Blameworthy,unint,blues,4321,praiseworthy
67ae87b0d1835460d0a99abd,Q371_1,8.5,unint,blues,8642,acc_prova
67ae87b0d1835460d0a99abd,Q371_4,6.0,unint,blues,8642,acc_provb
67ae87b0d1835460d0a99abd,Q371_5,3.5,unint,blues,8642,acc_provc
67ae87b0d1835460d0a99abd,Q371_6,0,unint,blues,8642,acc_provd
67ae87b0d1835460d0a99abd,Q372_1,6.0,unint,blues,6211,acc_prova
67ae87b0d1835460d0a99abd,Q372_4,2.5,unint,blues,6211,acc_provb
67ae87b0d1835460d0a99abd,Q372_5,0,unint,blues,6211,acc_provc
67ae87b0d1835460d0a99abd,Q372_6,0,unint,blues,6211,acc_provd
67ae87b0d1835460d0a99abd,Q373_1,5,unint,blues,4321,acc_prova
67ae87b0d1835460d0a99abd,Q373_4,2.5,unint,blues,4321,acc_provb
67ae87b0d1835460d0a99abd,Q373_5,0,unint,blues,4321,acc_provc
67ae87b0d1835460d0a99abd,Q373_6,0,unint,blues,4321,acc_provd
67001b28a9974a03b6ffec54,Q320,70,unint,blues,8642,allocation
67001b28a9974a03b6ffec54,Q321,no penalty,unint,blues,8642,penalty
67001b28a9974a03b6ffec54,Q322,Moderately Praiseworthy,unint,blues,8642,praiseworthy
67001b28a9974a03b6ffec54,Q245,45,unint,blues,6211,allocation
67001b28a9974a03b6ffec54,Q206,5% penalty,unint,blues,6211,penalty
67001b28a9974a03b6ffec54,Q9...103,A Little Blameworthy,unint,blues,6211,praiseworthy
67001b28a9974a03b6ffec54,Q300,50,unint,blues,4321,allocation
67001b28a9974a03b6ffec54,Q301,5% penalty,unint,blues,4321,penalty
67001b28a9974a03b6ffec54,Q302,Moderately Blameworthy,unint,blues,4321,praiseworthy
67001b28a9974a03b6ffec54,Q371_1,7.5,unint,blues,8642,acc_prova
67001b28a9974a03b6ffec54,Q371_4,5,unint,blues,8642,acc_provb
67001b28a9974a03b6ffec54,Q371_5,2.5,unint,blues,8642,acc_provc
67001b28a9974a03b6ffec54,Q371_6,0,unint,blues,8642,acc_provd
67001b28a9974a03b6ffec54,Q372_1,7,unint,blues,6211,acc_prova
67001b28a9974a03b6ffec54,Q372_4,3,unint,blues,6211,acc_provb
